Generation,rango_uso,self_reported_happiness
Gen Z,0-100,7.33450943532644
Gen Z,100-200,5.732297123228854
Gen Z,200-300,5.411330352381343
Gen Z,300-400,4.4058578413661875
Gen Z,400-500,2.6577398955182843
Gen Z,500+,1.5798319327731092
Millennials,0-100,7.0133536889919235
Millennials,100-200,5.611805852238579
Millennials,200-300,5.312446573323507
Millennials,300-400,4.0149521923324105
Millennials,400-500,2.3332160759827634
Millennials,500+,1.4793388429752066
Gen X,0-100,6.741847292610394
Gen X,100-200,5.532229643313912
Gen X,200-300,5.128707246834194
Gen X,300-400,3.569965870307167
Gen X,400-500,2.0870830100853373
Gen X,500+,1.4285714285714286
Boomers,0-100,6.573566296815883
Boomers,100-200,5.479444948774478
Boomers,200-300,4.949605296172628
Boomers,300-400,3.2216847197391942
Boomers,400-500,1.8599624060150375
Boomers,500+,1.3333333333333333
